Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SGS01G03270,2009.06,28887,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Social benefits,,,,
GFSA.SGS01G03270,2010.06,30831,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Social benefits,,,,
GFSA.SGS01G03270,2011.06,31875,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Social benefits,,,,
GFSA.SGS01G03270,2012.06,32460,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Social benefits,,,,
GFSA.SGS01G03270,2013.06,33180,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Social benefits,,,,
GFSA.SGS01G03270,2014.06,34010,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Social benefits,,,,
GFSA.SGS01G03270,2015.06,35067,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Social benefits,,,,
GFSA.SGS01G03270,2016.06,36185,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Social benefits,,,,
GFSA.SGS01G03270,2017.06,37590,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Social benefits,,,,
GFSA.SGS01G03270,2018.06,39279,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Social benefits,,,,
GFSA.SGS01G03280,2009.06,530,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Other expenses,,,,
GFSA.SGS01G03280,2010.06,564,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Other expenses,,,,
GFSA.SGS01G03280,2011.06,593,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Other expenses,,,,
GFSA.SGS01G03280,2012.06,535,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Other expenses,,,,
GFSA.SGS01G03280,2013.06,597,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Other expenses,,,,
GFSA.SGS01G03280,2014.06,563,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Expenses",Other expenses,,,,
